t,elapsed,x,y,dx,dy,dz,xy,xyz,yaw_deg
1781078818.4616654,285.8626799583435,149.14875872492453,-157.49641269479616,-0.6015110775441883,-0.09054441318431827,1.9065082681384882,0.6082876516642953,2.0011965529771634,-0.20027177735729912
1781078818.5628092,285.9638237953186,149.14875872492453,-157.49641269479616,-0.5985097217790099,-0.08857054075005522,1.9059764658192873,0.6050277908929018,1.99970120668307,-0.20128609018265228
1781078818.661745,286.06275963783264,149.14875872492453,-157.49641269479616,-0.6009441431411062,-0.09089211897872929,1.9106726320189493,0.6077789404611201,2.0050100117491336,-0.19971340433406742
1781078818.7604597,286.1614742279053,149.14875927924322,-157.49641225026335,-0.5998403878594445,-0.09400029605853888,1.9084209622025403,0.6071610548828554,2.0026769873198553,-0.20144439986610035
1781078818.8616328,286.2626473903656,149.14875927924322,-157.49641225026335,-0.6010166717794618,-0.0884159089818013,1.9070591529039742,0.6074853189320212,2.001477710441154,-0.2025536596684204
1781078818.9617174,286.36273193359375,149.14875927924322,-157.49641225026335,-0.6009238015603842,-0.0890760439083067,1.9069636709047335,0.607489882121619,2.001388118039726,-0.20090223868013793
1781078819.0609412,286.46195578575134,149.14771095027402,-157.49641225906365,-0.5983801358941605,-0.09254360326141864,1.9088893024814881,0.6054941003323822,2.0026186543287725,-0.2003094432675074
1781078819.1660745,286.56708908081055,149.14771095027402,-157.49641225906365,-0.6000366088212559,-0.09123365652192206,1.9073859360440855,0.6069328727364114,2.001621497942817,-0.20065981001982208
1781078819.2608101,286.66182470321655,149.14771095027402,-157.49641225906365,-0.595998528212931,-0.08700770106662503,1.9051130156204623,0.602316018114145,1.9980591052227086,-0.20422673661206797
1781078819.360823,286.7618374824524,149.14875927924322,-157.49641225026335,-0.601398823962171,-0.09185310188024687,1.9070679741260337,0.608372860824762,2.0017556783297206,-0.19946736874581752
1781078819.462142,286.86315655708313,149.14875927924322,-157.49641225026335,-0.6004236113591901,-0.08962324560610568,1.906816095618049,0.6070756453940349,2.001121800825388,-0.20174488068817487
1781078819.561234,286.9622485637665,149.14875926989777,-157.4953052443651,-0.5995479142590625,-0.08984754104591275,1.9082054643614097,0.6062427584098544,2.0021933913443855,-0.20336951338226328
1781078819.6626549,287.0636694431305,149.14875926989777,-157.4953052443651,-0.5989851689440684,-0.0924042412198105,1.9073047233517084,0.6060707684836508,2.0012828596003365,-0.20239472923011026
1781078819.760614,287.16162848472595,149.14875926989777,-157.4953052443651,-0.5999736654176786,-0.09253685444957682,1.9091188548874491,0.6070679275222393,2.0033138223236295,-0.2003798449203155
1781078819.8618095,287.2628240585327,149.14875926989777,-157.4953052443651,-0.597657161272906,-0.08846261974323966,1.9107067925702186,0.6041686167889105,2.0039511382981865,-0.20148380116281817
1781078820.0622408,287.463255405426,149.14980758339496,-157.49641221687634,-0.5996408694762181,-0.0911860288719879,1.912095324156849,0.6065344707497158,2.0059891806463273,-0.20136471251751523
1781078820.1614604,287.5624749660492,149.14980756003092,-157.49641219235443,-0.5981478459390246,-0.08659015211171095,1.9131074969835624,0.6043829084646788,2.00630481110397,-0.20165896728304147
1781078820.2949615,287.69597601890564,149.14980756003092,-157.49641219235443,-0.5997479418252283,-0.09263477479356652,1.9100913053937583,0.6068597821776066,2.004177534592553,-0.20159846947139282
1781078820.343274,287.7442886829376,149.14980756003092,-157.49641219235443,-0.5967555060486234,-0.08332389141841645,1.9140709430857301,0.6025446082079373,2.0066707702175646,-0.20176732519561236
1781078820.4613008,287.86231541633606,149.1498075509054,-157.49530518604362,-0.6020554104007374,-0.09356931221671516,1.9107642559715794,0.6092831307212677,2.005553782694479,-0.20071446626642747
1781078820.560478,287.96149253845215,149.1498075509054,-157.49530518604362,-0.6019783235801128,-0.09480802998342597,1.9124378591066433,0.609398444869743,2.0071833572332305,-0.20023274733586383
1781078820.6610193,288.06203389167786,149.1498075509054,-157.49530518604362,-0.5974930656753941,-0.08339436059469563,1.9143515287463628,0.6032848273487232,2.0071607704722396,-0.19989588580270196
1781078820.7612836,288.16229820251465,149.1508558796547,-157.49530517721752,-0.6008818138377592,-0.08524725251109544,1.9131051920609579,0.6068987133465072,2.0070619133829033,-0.2027256213259617
1781078820.8614848,288.262499332428,149.1498075509054,-157.49530518604362,-0.6019837613488903,-0.09107208623208862,1.912846333954888,0.608833781765124,2.0074012232593357,-0.19984969305248426
1781078820.9615326,288.36254715919495,149.14980759274044,-157.49751922365127,-0.6001286196238311,-0.08876217470674419,1.9122771537950705,0.6066573033849305,2.006199640284299,-0.20284963482894983
1781078821.0608625,288.46187710762024,149.14875928814888,-157.49751925742507,-0.5976685955331504,-0.08182465182926535,1.9106720465890277,0.6032437515080857,2.0036393620984425,-0.20060383119934683
1781078821.160686,288.5617005825043,149.14875928814888,-157.49751925742507,-0.5947631949360641,-0.08001640489129613,1.9111483494636923,0.6001215569384943,2.0031559841310607,-0.20203923197384135
1781078821.2609093,288.66192388534546,149.14875928814888,-157.49751925742507,-0.5962952365714784,-0.08153858155165494,1.9110625863279553,0.6018442900279867,2.0035909658165725,-0.20198710565215613
1781078821.3611515,288.7621660232544,149.14875928814888,-157.49751925742507,-0.5969217121189274,-0.0817371388146455,1.9120258264308734,0.6024919005767598,2.0047042802366786,-0.20539014283324283
1781078821.460637,288.86165165901184,149.1487587338302,-157.49751970195788,-0.5978396864601336,-0.08228594960124269,1.9113545451112075,0.603475988096071,2.0043601136836164,-0.20483611822556885
1781078821.5609393,288.9619538784027,149.14875824395153,-157.4975191927208,-0.5981908814181338,-0.08161765115548292,1.9095327959291635,0.6037331957014969,2.0027004944127293,-0.20237294628486563
1781078821.6618326,289.0628471374512,149.14875824395153,-157.4975191927208,-0.5998182542766699,-0.08653809009280167,1.9106399478513787,0.606028695030542,2.0044489989834964,-0.20297457390327295
1781078821.760682,289.1616966724396,149.14875879510427,-157.49751874489692,-0.5979377308659366,-0.08156512253131609,1.911382380421404,0.6034752680985807,2.004386440632656,-0.2025193799790347
1781078821.8605826,289.26159715652466,149.1487587861986,-157.4964117377352,-0.5977547525607179,-0.08354634743986367,1.9130260537235049,0.6035650224950643,2.005980911824535,-0.20278252963026128
1781078821.9612904,289.3623049259186,149.15085596848576,-157.49751926412742,-0.6005048655858332,-0.08370352426607042,1.9109191045193537,0.6063104597207772,2.004800288703059,-0.20196875028998262
1781078822.06026,289.46127462387085,149.15085597761131,-157.49862627043822,-0.6001812506988529,-0.08012535353356043,1.9090705747825691,0.6055060742629402,2.0027950632728166,-0.20562937834421144
1781078822.1607976,289.5618121623993,149.15190432875906,-157.49862628635344,-0.6040088530785681,-0.085935275758942,1.9109731630512672,0.610091440865263,2.0059985035186885,-0.20141256204215172
1781078822.2607489,289.6617634296417,149.15190432875906,-157.49862628635344,-0.6000422755617194,-0.08057826467214113,1.9103817041700057,0.6054284344155467,2.004021418255393,-0.2032018279165748
1781078822.360315,289.7613296508789,149.15190432875906,-157.49862628635344,-0.600967817032199,-0.08186516678509292,1.910043116163883,0.6065181140256223,2.0040281755120692,-0.20021744239719833
1781078822.4615395,289.86255407333374,149.1529526579482,-157.49862627757895,-0.6065777919456821,-0.08531961178275083,1.9079455803850929,0.6125488175129052,2.0038643645585066,-0.20136300815085373
1781078822.562188,289.96320247650146,149.15190431932768,-157.49751928033945,-0.6088590998181758,-0.08827915554110177,1.9079719375435715,0.6152256600097636,2.0047093373325273,-0.19909661145082444
1781078822.6624672,290.06348180770874,149.151903765009,-157.49751972487226,-0.6081403024374481,-0.08710051829703502,1.9083931410251038,0.6143460976813664,2.004840519454848,-0.20071998107598965
1781078822.7606738,290.1616883277893,149.15190327513034,-157.49751921563518,-0.6046565110376321,-0.08500158849105333,1.9091436839824112,0.6106019705063229,2.004411228385068,-0.2006711592933939
1781078822.861733,290.2627475261688,149.15190327513034,-157.49751921563518,-0.6091937333854673,-0.08840177079213163,1.9102332042144008,0.6155744291922045,2.006968552907226,-0.1990547729386151
1781078822.9608185,290.36183309555054,149.1519032517182,-157.4975191904423,-0.6087697810519899,-0.08981256512825553,1.910143598568264,0.6153591984987344,2.0068172588275996,-0.19903140349725124
1781078823.0613973,290.46241188049316,149.1508549007904,-157.49751917499123,-0.6044136532222808,-0.08850573333083389,1.9107267679469349,0.6108593365365976,2.0059974852384217,-0.20138792897600546
1781078823.1617346,290.56274914741516,149.1508549007904,-157.49751917499123,-0.6082134092441152,-0.08933442203476716,1.9113735734529786,0.6147391236489145,2.007798079349376,-0.19969091030038097
1781078823.263191,290.66420555114746,149.15085486816682,-157.49641214337177,-0.606787403958748,-0.0925293256694033,1.9143870250719142,0.6138017837313862,2.0103806384551968,-0.19877510017483038
1781078823.3625648,290.7635793685913,149.15085486816682,-157.49641214337177,-0.602221593364618,-0.08932560089661479,1.910206679063272,0.6088102417750219,2.004878915852051,-0.20450644295332468
1781078823.4606664,290.86168098449707,149.15085486816682,-157.49641214337177,-0.6064335065035493,-0.09104362868882276,1.9129651061989115,0.6132295982215948,2.0088519202941844,-0.1978661418998846
1781078823.5604231,290.96143770217896,149.15085486816682,-157.49641214337177,-0.605235577394609,-0.08886252545414663,1.9153205482854123,0.6117243272702784,2.0106365796082115,-0.20265823196621288
